TrackName,ArtistName,Album,PlaylistName,Type,ISRC
"Miracle","Above & Beyond","Acoustic","all of it","Playlist","74197921"
"You Got To Go","Above & Beyond","Acoustic","all of it","Playlist","74197922"
"Satellite / Stealing Time","Above & Beyond","Acoustic","all of it","Playlist","74197923"
"Thing Called Love","Above & Beyond","Acoustic","all of it","Playlist","74197924"
"Can't Sleep","Above & Beyond","Acoustic","all of it","Playlist","74197925"
"Sun & Moon","Above & Beyond","Acoustic","all of it","Playlist","74197926"
"Good For Me","Above & Beyond","Acoustic","all of it","Playlist","74197927"
"Sirens Of The Sea","Above & Beyond","Acoustic","all of it","Playlist","74197928"
"Love Is Not Enough","Above & Beyond","Acoustic","all of it","Playlist","74197929"
"On A Good Day (Acoustic)","Above & Beyond","Acoustic","all of it","Playlist","74197930"
"Alone Tonight","Above & Beyond","Acoustic","all of it","Playlist","74197931"
"Making Plans","Above & Beyond","Acoustic","all of it","Playlist","74197932"
"Baby, I'm an Anarchist!","Against Me!","Reinventing Axl Rose","all of it","Playlist","552762772"
"New Wave","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680417"
"Up the Cuts","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680418"
"Thrash Unreal","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680420"
"White People for Peace","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680422"
"Stop!","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680424"
"Borne on the FM Waves of the Heart","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680426"
"Piss and Vinegar","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680428"
"Americans Abroad","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680430"
"Animal","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680431"
"The Ocean","Against Me!","New Wave (U.S. Version)","all of it","Playlist","680433"
"Ironic","Alanis Morissette","The Collection (Standard Edition)","all of it","Playlist","789250"
"You Oughta Know (2015 Remaster)","Alanis Morissette","Jagged Little Pill (2015 Remaster)","all of it","Playlist","109843288"
"Hand in My Pocket (2015 Remaster)","Alanis Morissette","Jagged Little Pill (2015 Remaster)","all of it","Playlist","109843292"
"Uninvited","Alanis Morissette","The Collection (Standard Edition)","all of it","Playlist","789312"
"Ho Hey","Alex Boye","Africanized","all of it","Playlist","1214813562"
"Oshé","Alex Boye","Africanized","all of it","Playlist","1214813582"
"Man in the Box","Alice in Chains","Facelift","all of it","Playlist","15523335"
"Rooster","Alice in Chains","Greatest Hits","all of it","Playlist","15178364"
"A Try","Alien Lipstick Fire","A Try","all of it","Playlist","477922162"
"A Horse with No Name","America","America's Greatest Hits - History","all of it","Playlist","727720"
"Ventura Highway","America","America's Greatest Hits - History","all of it","Playlist","727733"
"Lonely People","America","Holiday","all of it","Playlist","732851"
"Sister Golden Hair","America","America's Greatest Hits - History","all of it","Playlist","727762"
"Old Fashioned Hat","Anais Mitchell","The Brightness","all of it","Playlist","583111572"
"Compersion Pt. 1","Arab Strap","As Days Get Dark","all of it","Playlist","1121164152"
"The Turning of Our Bones","Arab Strap","As Days Get Dark","all of it","Playlist","1121164132"
"Do I Wanna Know?","Arctic Monkeys","AM","all of it","Playlist","70322130"
"R U Mine?","Arctic Monkeys","AM","all of it","Playlist","70322132"
"On to Something Good","Ashley Monroe","The Blade","all of it","Playlist","103915924"
"Show Me How to Live","Audioslave","Audioslave","all of it","Playlist","851050"
"Like a Stone","Audioslave","Audioslave","all of it","Playlist","851057"
"Can't Get Enough (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818859"
"Feel like Makin' Love (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818860"
"Run with the Pack (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818861"
"Shooting Star (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818862"
"Movin' On (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818863"
"Bad Company (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818864"
"Rock 'n' Roll Fantasy (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818865"
"Electricland (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818866"
"Ready for Love (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818867"
"Live for the Music (2009 Remaster)","Bad Company","10 from 6 (2009 Remaster)","all of it","Playlist","3818868"
"Sweet Sour","Band Of Skulls","Sweet Sour","all of it","Playlist","145613902"
"Falling for the First Time","Barenaked Ladies","Disc One: All Their Greatest Hits 1991 - 2001","all of it","Playlist","4091559"
"One Week","Barenaked Ladies","Disc One: All Their Greatest Hits 1991 - 2001","all of it","Playlist","4091561"
"If I Had $1,000,000","Barenaked Ladies","Disc One: All Their Greatest Hits 1991 - 2001","all of it","Playlist","4091565"
"It's All Been Done","Barenaked Ladies","Disc One: All Their Greatest Hits 1991 - 2001","all of it","Playlist","4091568"
"Pinch Me (Radio Version)","Barenaked Ladies","Disc One: All Their Greatest Hits 1991 - 2001","all of it","Playlist","4091571"
"Pompeii","Bastille","Bad Blood","all of it","Playlist","1758855217"
"Things We Lost In The Fire","Bastille","Bad Blood","all of it","Playlist","1758855227"
"Overjoyed","Bastille","Bad Blood","all of it","Playlist","1758855247"
"Laura Palmer","Bastille","Bad Blood","all of it","Playlist","1758855317"
"Loser","Beck","90s Rock","all of it","Playlist","432946872"
"The Only Place","Best Coast","The Only Place (Deluxe)","all of it","Playlist","1809265477"
"Feeling Ok","Best Coast","California Nights","all of it","Playlist","115357122"
"Heaven Sent","Best Coast","California Nights","all of it","Playlist","115357126"
"Fine Without You","Best Coast","California Nights","all of it","Playlist","115357124"
"When Will I Change","Best Coast","California Nights","all of it","Playlist","115357132"
"California Nights","Best Coast","California Nights","all of it","Playlist","115357136"
"Dirty Laundry","Bitter:Sweet","The Mating Game","all of it","Playlist","11124712"
"The Mating Game","Bitter:Sweet","The Mating Game","all of it","Playlist","11124706"
"Take 2 Blue","Bitter:Sweet","The Mating Game","all of it","Playlist","11124715"
"The Real Thing","Bo Bice","The Real Thing","all of it","Playlist","71215978"
"Livin' On A Prayer","Bon Jovi","Slippery When Wet","all of it","Playlist","538660022"
"You Give Love A Bad Name","Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)","all of it","Playlist","577487242"
"Wanted Dead Or Alive","Bon Jovi","Cross Road","all of it","Playlist","538586992"
"More Than a Feeling","Boston","Boston","all of it","Playlist","84340025"
"Peace of Mind","Boston","Boston","all of it","Playlist","84340027"
"Foreplay / Long Time","Boston","Boston","all of it","Playlist","84340029"
"Rock & Roll Band","Boston","Boston","all of it","Playlist","84340031"
"Smokin'","Boston","Boston","all of it","Playlist","84340033"
"Hitch a Ride","Boston","Boston","all of it","Playlist","84340035"
"Something About You","Boston","Boston","all of it","Playlist","84340037"
"Let Me Take You Home Tonight","Boston","Boston","all of it","Playlist","84340039"
"Don't Look Back","Boston","Don't Look Back","all of it","Playlist","15189261"
"The Journey","Boston","Don't Look Back","all of it","Playlist","15189266"
"It's Easy","Boston","Don't Look Back","all of it","Playlist","15191008"
"A Man I'll Never Be","Boston","Don't Look Back","all of it","Playlist","15193706"
"Feelin' Satisfied","Boston","Don't Look Back","all of it","Playlist","15189263"
"Party","Boston","Don't Look Back","all of it","Playlist","15191469"
"Used to Bad News","Boston","Don't Look Back","all of it","Playlist","15190557"
"Don't Be Afraid","Boston","Don't Look Back","all of it","Playlist","15189260"
"1985","Bowling for Soup","A Hangover You Don't Deserve","all of it","Playlist","2454457"
"Stacy's Mom","Bowling for Soup","I've Never Done Anything Like This","all of it","Playlist","22712561"
"Girl All the Bad Guys Want","Bowling for Soup","Drunk Enough To Dance","all of it","Playlist","63334975"
"I Ran (So Far Away)","Bowling for Soup","Drunk Enough To Dance","all of it","Playlist","63334990"
"The Diary Of Jane","Breaking Benjamin","Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit)","all of it","Playlist","13711280"
"So Cold","Breaking Benjamin","Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit)","all of it","Playlist","13711277"
"I Will Not Bow","Breaking Benjamin","Dear Agony","all of it","Playlist","4638671"
"Trying","Bully","Feels Like","all of it","Playlist","102213502"
"Everything Zen","Bush","Sixteen Stone (Remastered)","all of it","Playlist","424502712"
"Comedown","Bush","Sixteen Stone (Remastered)","all of it","Playlist","424502752"
"Machinehead","Bush","Sixteen Stone (Remastered)","all of it","Playlist","424502772"
"Glycerine","Bush","Sixteen Stone (Remastered)","all of it","Playlist","424502802"
"Greedy Fly","Bush","Razorblade Suitcase (Remastered)","all of it","Playlist","424502962"
"Swallowed","Bush","Razorblade Suitcase (Remastered)","all of it","Playlist","424502972"
"Cold Contagious","Bush","Razorblade Suitcase (Remastered)","all of it","Playlist","424502992"
"Pepper","Butthole Surfers","Electriclarryland","all of it","Playlist","3643236"
"Ain't No Rest for the Wicked","Cage The Elephant","Cage The Elephant (Expanded Edition)","all of it","Playlist","561626942"
"In One Ear","Cage The Elephant","Cage The Elephant (Expanded Edition)","all of it","Playlist","561626922"
"Frank Sinatra","CAKE","Fashion Nugget","all of it","Playlist","959353"
"The Distance","CAKE","Fashion Nugget","all of it","Playlist","959356"
"Friend Is a Four Letter Word","CAKE","Fashion Nugget","all of it","Playlist","959360"
"Open Book","CAKE","Fashion Nugget","all of it","Playlist","959363"
"Daria","CAKE","Fashion Nugget","all of it","Playlist","959367"
"Race Car Ya-Yas","CAKE","Fashion Nugget","all of it","Playlist","959369"
"I Will Survive","CAKE","Fashion Nugget","all of it","Playlist","959372"
"Stickshifts and Safetybelts","CAKE","Fashion Nugget","all of it","Playlist","959373"
"Perhaps, Perhaps, Perhaps","CAKE","Fashion Nugget","all of it","Playlist","959376"
"It's Coming Down","CAKE","Fashion Nugget","all of it","Playlist","959379"
"Nugget","CAKE","Fashion Nugget","all of it","Playlist","960491"
"She'll Come Back to Me","CAKE","Fashion Nugget","all of it","Playlist","959382"
"Italian Leather Sofa","CAKE","Fashion Nugget","all of it","Playlist","959387"
"Sad Songs and Waltzes","CAKE","Fashion Nugget","all of it","Playlist","959388"
"Satan Is My Motor","CAKE","Prolonging the Magic","all of it","Playlist","969429"
"Mexico","CAKE","Prolonging the Magic","all of it","Playlist","969432"
"Never There","CAKE","Prolonging the Magic","all of it","Playlist","969434"
"Guitar","CAKE","Prolonging the Magic","all of it","Playlist","970692"
"You Turn The Screws","CAKE","Prolonging the Magic","all of it","Playlist","969436"
"Walk On By","CAKE","Prolonging the Magic","all of it","Playlist","969439"
"Sheep Go To Heaven","CAKE","Prolonging the Magic","all of it","Playlist","969442"
"When You Sleep","CAKE","Prolonging the Magic","all of it","Playlist","970693"
"Hem Of Your Garment","CAKE","Prolonging the Magic","all of it","Playlist","970694"
"Alpha Beta Parking Lot","CAKE","Prolonging the Magic","all of it","Playlist","969444"
"Let Me Go","CAKE","Prolonging the Magic","all of it","Playlist","969447"
"Cool Blue Reason","CAKE","Prolonging the Magic","all of it","Playlist","969449"
"Where Would I Be?","CAKE","Prolonging the Magic","all of it","Playlist","969451"
"Opera Singer","CAKE","Comfort Eagle","all of it","Playlist","624196"
"Meanwhile, Rick James...","CAKE","Comfort Eagle","all of it","Playlist","624406"
"Shadow Stabbing","CAKE","Comfort Eagle","all of it","Playlist","624195"
"Short Skirt / Long Jacket","CAKE","Comfort Eagle","all of it","Playlist","624991"
"Commissioning a Symphony In C","CAKE","Comfort Eagle","all of it","Playlist","623112"
"Arco Arena (Instrumental)","CAKE","Comfort Eagle","all of it","Playlist","623121"
"Comfort Eagle","CAKE","Comfort Eagle","all of it","Playlist","623531"
"Long Line of Cars","CAKE","Comfort Eagle","all of it","Playlist","625159"
"Love You Madly","CAKE","Comfort Eagle","all of it","Playlist","624966"
"Pretty Pink Ribbon","CAKE","Comfort Eagle","all of it","Playlist","623110"
"World of Two","CAKE","Comfort Eagle","all of it","Playlist","623111"
"Wheels","CAKE","Pressure Chief","all of it","Playlist","586525"
"No Phone (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586529"
"Take It All Away (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586532"
"Dime (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586535"
"Carbon Monoxide (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586539"
"The Guitar Man (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586551"
"Waiting (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586554"
"She'll Hang the Baskets (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586541"
"End of the Movie (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586544"
"Palm of Your Hand (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586284"
"Tougher Than It Is (Album Version)","CAKE","Pressure Chief","all of it","Playlist","586547"
"War Pigs","CAKE","B-Sides and Rarities","all of it","Playlist","572422512"
"Ruby, Don't Take Your Love To Town","CAKE","B-Sides and Rarities","all of it","Playlist","572422522"
"Mahna, Mahna","CAKE","B-Sides and Rarities","all of it","Playlist","572422532"
"Excuse Me, I Think I've Got A Heartache","CAKE","B-Sides and Rarities","all of it","Playlist","572422542"
"Conroy","CAKE","B-Sides and Rarities","all of it","Playlist","572422552"
"Strangers In The Night","CAKE","B-Sides and Rarities","all of it","Playlist","572422562"
"Multiply The Heartaches","CAKE","B-Sides and Rarities","all of it","Playlist","572422572"
"Never, Never Gonna Give You Up","CAKE","B-Sides and Rarities","all of it","Playlist","572422582"
"Thrills","CAKE","B-Sides and Rarities","all of it","Playlist","572422592"
"Is This Love","CAKE","B-Sides and Rarities","all of it","Playlist","572422632"
"Bright Lights Bigger City","CeeLo Green","The Lady Killer","all of it","Playlist","14574356"
"Fuck You","CeeLo Green","The Lady Killer","all of it","Playlist","14574357"
"Love Gun (feat. Lauren Bennett)","CeeLo Green","The Lady Killer","all of it","Playlist","14574360"
"I Want You","CeeLo Green","The Lady Killer","all of it","Playlist","14574362"
"It's OK","CeeLo Green","The Lady Killer","all of it","Playlist","14574365"
"No One's Gonna Love You","CeeLo Green","The Lady Killer","all of it","Playlist","14574367"
"Redbone","Childish Gambino","""Awaken, My Love!""","all of it","Playlist","1855603117"
"Black Hole Sun","Soundgarden","Superunknown (Super Deluxe)","all of it","Playlist","78631539"
"Spoonman","Soundgarden","Superunknown (Deluxe Edition)","all of it","Playlist","78690536"
"The Affidavit","Clutch","Psychic Warfare","all of it","Playlist","123601696"
"X-Ray Visions","Clutch","Psychic Warfare","all of it","Playlist","123601698"
"Firebirds","Clutch","Psychic Warfare","all of it","Playlist","123601700"
"A Quick Death in Texas","Clutch","Psychic Warfare","all of it","Playlist","123601702"
"Sucker for the Witch","Clutch","Psychic Warfare","all of it","Playlist","123601704"
"Your Love Is Incarceration","Clutch","Psychic Warfare","all of it","Playlist","123601706"
"Doom Saloon","Clutch","Psychic Warfare","all of it","Playlist","123601708"
"Our Lady of Electric Light","Clutch","Psychic Warfare","all of it","Playlist","123601710"
"Noble Savage","Clutch","Psychic Warfare","all of it","Playlist","123601712"
"Behold the Colossus","Clutch","Psychic Warfare","all of it","Playlist","123601714"
"Decapitation Blues","Clutch","Psychic Warfare","all of it","Playlist","123601716"
"Son of Virginia","Clutch","Psychic Warfare","all of it","Playlist","123601718"
"Hang Me Up To Dry","Cold War Kids","This Will All Blow Over In Time","all of it","Playlist","598067472"
"Simple","Collective Soul","Collective Soul","all of it","Playlist","1444368232"
"Untitled","Collective Soul","Collective Soul","all of it","Playlist","1444368282"
"The World I Know (LP Version)","Collective Soul","Collective Soul","all of it","Playlist","1444368322"
"Smashing Young Man","Collective Soul","Collective Soul","all of it","Playlist","1444368342"
"December","Collective Soul","Collective Soul","all of it","Playlist","1444368392"
"Where The River Flows","Collective Soul","Collective Soul","all of it","Playlist","1444368442"
"Gel","Collective Soul","Collective Soul","all of it","Playlist","1444368492"
"Tremble For My Beloved","Collective Soul","Dosage","all of it","Playlist","1444386562"
"Heavy","Collective Soul","Dosage","all of it","Playlist","1444386572"
"No More No Less","Collective Soul","Dosage","all of it","Playlist","1444386582"
"Slow","Collective Soul","Dosage","all of it","Playlist","1444386602"
"Run","Collective Soul","Dosage","all of it","Playlist","1444386622"
"Perfect Day","Collective Soul","Blender","all of it","Playlist","1444364502"
"Better Now","Collective Soul","Youth","all of it","Playlist","1983561387"
"Cold","Crossfade","Crossfade","all of it","Playlist","581935"
"One More Time","Daft Punk","Discovery","all of it","Playlist","3135553"
"Aerodynamic","Daft Punk","Discovery","all of it","Playlist","3135554"
"Digital Love","Daft Punk","Discovery","all of it","Playlist","3135555"
"Harder, Better, Faster, Stronger","Daft Punk","Discovery","all of it","Playlist","3135556"
"Something About Us","Daft Punk","Discovery","all of it","Playlist","3135561"
"The Game of Love","Daft Punk","Random Access Memories","all of it","Playlist","67238729"
"Giorgio by Moroder","Daft Punk","Random Access Memories","all of it","Playlist","67238730"
"Instant Crush (feat. Julian Casablancas)","Daft Punk","Random Access Memories","all of it","Playlist","67238732"
"Touch (feat. Paul Williams)","Daft Punk","Random Access Memories","all of it","Playlist","67238734"
"Fragments of Time (feat. Todd Edwards)","Daft Punk","Random Access Memories","all of it","Playlist","67238738"
"Doin' it Right (feat. Panda Bear)","Daft Punk","Random Access Memories","all of it","Playlist","67238739"
"Contact","Daft Punk","Random Access Memories","all of it","Playlist","67238740"
"Slow Dance with a Stranger","Danger Radio","Used and Abused","all of it","Playlist","903301"
"Kiss N' Tell","Danger Radio","Used and Abused","all of it","Playlist","903299"
"Alive for the First Time","Danger Radio","Used and Abused","all of it","Playlist","903303"
"Grown Up","Danny Brown","Grown Up","all of it","Playlist","961817602"
"Freeze Me","Death From Above 1979","Outrage! Is Now","all of it","Playlist","388894521"
"Never Swim Alone","Death From Above 1979","Outrage! Is Now","all of it","Playlist","388894551"
"Wasting My Time","Default","The Fallout (Limited Edition)","all of it","Playlist","2370424"
"Rocket","Def Leppard","Hysteria","all of it","Playlist","447552792"
"Love Bites","Def Leppard","Hysteria","all of it","Playlist","447552812"
"Animal","Def Leppard","Hysteria","all of it","Playlist","447552802"
"Pour Some Sugar On Me","Def Leppard","Hysteria","all of it","Playlist","447552822"
"Armageddon It","Def Leppard","Hysteria","all of it","Playlist","447552832"
"Hysteria","Def Leppard","Hysteria","all of it","Playlist","447552872"
"Let's Get Rocked","Def Leppard","Adrenalize","all of it","Playlist","449185002"
"Heaven Is","Def Leppard","Adrenalize","all of it","Playlist","449185012"
